Relative_x,Smoothed_lq6,Std_lq6
-1.229999999999989058e+01,2.252939815340420648e-01,1.262527481754253389e-01
-1.219999999999988916e+01,2.253302554967203941e-01,1.250780212946943637e-01
-1.209999999999988773e+01,2.253667378506714614e-01,1.256042622914328166e-01
-1.199999999999988631e+01,2.254022131488237213e-01,1.261080026486549599e-01
-1.189999999999988489e+01,2.254354607092405594e-01,1.245129705598801012e-01
-1.179999999999988347e+01,2.254653427076686034e-01,1.252162379863336339e-01
-1.169999999999988205e+01,2.254908936569164635e-01,1.272315122798909903e-01
-1.159999999999988063e+01,2.255114029510599805e-01,1.264296946528681020e-01
-1.149999999999987921e+01,2.255264818116743120e-01,1.246631470842320538e-01
-1.139999999999987779e+01,2.255361067196574310e-01,1.272295676657297370e-01
-1.129999999999987637e+01,2.255406332682689530e-01,1.262377924872801760e-01
-1.119999999999987494e+01,2.255407771620497326e-01,1.284468585561802934e-01
-1.109999999999987352e+01,2.255375624808323709e-01,1.272109187796865437e-01
-1.099999999999987210e+01,2.255322408894264441e-01,1.264223515738629733e-01
-1.089999999999987068e+01,2.255261887314364277e-01,1.257800491644975871e-01
-1.079999999999986926e+01,2.255207914736342689e-01,1.262901791709232224e-01
-1.069999999999986784e+01,2.255173264460924587e-01,1.252147111135765711e-01
-1.059999999999986642e+01,2.255168550808200334e-01,1.249006420270757783e-01
-1.049999999999986500e+01,2.255201348773906433e-01,1.263038574523349111e-01
-1.039999999999986358e+01,2.255275592599083057e-01,1.262716555599263657e-01
-1.029999999999986215e+01,2.255391306013492525e-01,1.252060838619508398e-01
-1.019999999999986073e+01,2.255544683274157136e-01,1.260518037577988693e-01
-1.009999999999985931e+01,2.255728505566364228e-01,1.259588200304639360e-01
-9.999999999999857891e+00,2.255932845586842428e-01,1.248658921579834380e-01
-9.899999999999856470e+00,2.256145987380811235e-01,1.254155499920227013e-01
-9.799999999999855049e+00,2.256355471119212697e-01,1.270269668027466381e-01
-9.699999999999853628e+00,2.256549164844343924e-01,1.240876739012395924e-01
-9.599999999999852207e+00,2.256716267615350713e-01,1.263704931659161423e-01
-9.499999999999850786e+00,2.256848160323767782e-01,1.252035417853203381e-01
-9.399999999999849365e+00,2.256939040268317043e-01,1.257743763664627146e-01
-9.299999999999847944e+00,2.256986301239633508e-01,1.249592546277147886e-01
-9.199999999999846523e+00,2.256990649697566131e-01,1.260102254234855557e-01
-9.099999999999845102e+00,2.256955976567786293e-01,1.248770978501853729e-01
-8.999999999999843681e+00,2.256889030003392249e-01,1.254139931352224180e-01
-8.899999999999842260e+00,2.256798954033626403e-01,1.267132098517385896e-01
-8.799999999999840838e+00,2.256696768782439633e-01,1.252278367988494401e-01
-8.699999999999839417e+00,2.256594868346634419e-01,1.240579554895133579e-01
-8.599999999999837996e+00,2.256506602423360430e-01,1.240421599586681578e-01
-8.499999999999836575e+00,2.256445989017646925e-01,1.259700115666053111e-01
-8.399999999999835154e+00,2.256427581234862201e-01,1.258259523758114007e-01
-8.299999999999833733e+00,2.256466485414784229e-01,1.246767473514180380e-01
-8.199999999999832312e+00,2.256578504883220981e-01,1.251484233985887540e-01
-8.099999999999830891e+00,2.256780366642772706e-01,1.259423015862105588e-01
-7.999999999999829470e+00,2.257089979001259405e-01,1.260020791429490583e-01
-7.899999999999828049e+00,2.257526666145075744e-01,1.248286623710221643e-01
-7.799999999999826628e+00,2.258111329098376752e-01,1.250909471760215941e-01
-7.699999999999825206e+00,2.258866488564328645e-01,1.254090772285472166e-01
-7.599999999999823785e+00,2.259816171009743080e-01,1.267792885767575484e-01
-7.499999999999822364e+00,2.260985603027926005e-01,1.258838826593719762e-01
