# q S(q)
2.042689759324599841e+00 1.313300905978706856e+00
2.093126543505453796e+00 7.989218086347380510e-01
2.143563327686307751e+00 5.929392104534895180e-01
2.194000111867162595e+00 4.979579768004057660e-01
2.244436896048016550e+00 4.400775898293836086e-01
2.294873680228871393e+00 3.808628983523026923e-01
2.345310464409725348e+00 4.509383142756601126e-01
2.395747248590579304e+00 3.403938322658520144e-01
2.446184032771434147e+00 3.592942617888815193e-01
2.496620816952288102e+00 3.084052901745096276e-01
2.547057601133142946e+00 3.668374306997026491e-01
2.597494385313996901e+00 3.115863647106064116e-01
2.647931169494850856e+00 2.985841732416885108e-01
2.698367953675705699e+00 3.882278858061379290e-01
2.748804737856559655e+00 3.829698777386599251e-01
2.799241522037414498e+00 3.680668466382130410e-01
2.849678306218268453e+00 4.253537202105681092e-01
2.900115090399122408e+00 4.439181734847531535e-01
2.950551874579977252e+00 5.411657002330020338e-01
3.000988658760831207e+00 6.002685233952239630e-01
3.051425442941686050e+00 6.725475431218078670e-01
3.101862227122540006e+00 6.670233016615000343e-01
3.152299011303393961e+00 9.828030766313230471e-01
3.202735795484248804e+00 1.500318943079946177e+00
3.253172579665102759e+00 5.839563261232794567e+00
3.303609363845957603e+00 8.271538130147110479e+00
3.354046148026811558e+00 3.312342635163019633e+00
3.404482932207665513e+00 1.671376332864489500e+00
3.454919716388520357e+00 1.432191815616968400e+00
3.505356500569374312e+00 9.013881256583132773e-01
3.555793284750229155e+00 7.763434970368714438e-01
3.606230068931083110e+00 8.580776160716788725e-01
3.656666853111937066e+00 9.912499865111070729e-01
3.707103637292791909e+00 1.212243362511531641e+00
3.757540421473645864e+00 2.700246787362625689e+00
3.807977205654500708e+00 6.069475469700740256e+00
3.858413989835354663e+00 3.847859642414008352e+00
3.908850774016208618e+00 1.292520423808185548e+00
3.959287558197063461e+00 8.494559443305240709e-01
4.009724342377917417e+00 7.187501273819453251e-01
4.060161126558771372e+00 6.055258912014666040e-01
4.110597910739626215e+00 5.808523849186226773e-01
4.161034694920481058e+00 5.911730262285002091e-01
4.211471479101334126e+00 6.450039653719327193e-01
4.261908263282188969e+00 5.398252285881588453e-01
4.312345047463043812e+00 5.297796774387184549e-01
4.362781831643897767e+00 6.123787976566157365e-01
4.413218615824751723e+00 6.038098152274508079e-01
4.463655400005606566e+00 5.486166528289574407e-01
4.514092184186460521e+00 5.543860297923032254e-01
4.564528968367314476e+00 6.742127777987768633e-01
4.614965752548169320e+00 6.686156003098704392e-01
4.665402536729024163e+00 6.372927225566826781e-01
4.715839320909877230e+00 7.744569679611691404e-01
4.766276105090732074e+00 8.555464003652857308e-01
4.816712889271586917e+00 9.098745496276254840e-01
4.867149673452440872e+00 1.083924025526301183e+00
4.917586457633294827e+00 1.471414592000981125e+00
4.968023241814149671e+00 2.385899571507855477e+00
5.018460025995003626e+00 4.718079500177577934e+00
5.068896810175857581e+00 4.834681018860506718e+00
5.119333594356712425e+00 2.280284315773683623e+00
5.169770378537567268e+00 1.493856626924732645e+00
5.220207162718420335e+00 1.104311494557375983e+00
5.270643946899275178e+00 1.015010371863013239e+00
5.321080731080130022e+00 9.885914313105708118e-01
5.371517515260983977e+00 8.206541698932894313e-01
5.421954299441837932e+00 7.037638447263893093e-01
5.472391083622692776e+00 7.680566719549214438e-01
5.522827867803546731e+00 8.658243870728216107e-01
5.573264651984400686e+00 9.019108032096766481e-01
5.623701436165255529e+00 1.125426917111197245e+00
5.674138220346110373e+00 1.863385596821475865e+00
5.724575004526963440e+00 2.304335846427219003e+00
5.775011788707818283e+00 1.373126433961834758e+00
5.825448572888673127e+00 1.024293929909092737e+00
5.875885357069527082e+00 8.980308025824479401e-01
5.926322141250381037e+00 8.361169490464591680e-01
5.976758925431235880e+00 8.696233714264837156e-01
6.027195709612089836e+00 8.308597664680531514e-01
6.077632493792943791e+00 7.980795716264165174e-01
6.128069277973798634e+00 8.162742460078487028e-01
6.178506062154653478e+00 8.061689419826183478e-01
6.228942846335506545e+00 9.228858600241146570e-01
6.279379630516361388e+00 9.601524634658176183e-01
6.329816414697216231e+00 8.391708361187425469e-01
6.380253198878070187e+00 8.361429124248834777e-01
6.430689983058924142e+00 8.872379160529951792e-01
6.481126767239778985e+00 1.101736169777099983e+00
6.531563551420632940e+00 1.258089516411891040e+00
6.582000335601486896e+00 1.623627676757354976e+00
6.632437119782341739e+00 1.587986519660636642e+00
6.682873903963196582e+00 1.386530713991769970e+00
6.733310688144049649e+00 1.348735717429769831e+00
6.783747472324904493e+00 1.393654946251291493e+00
6.834184256505759336e+00 1.867201222890573442e+00
6.884621040686613291e+00 2.095769785991167034e+00
6.935057824867467247e+00 1.550074947229775235e+00
6.985494609048322090e+00 1.107044593298433632e+00
7.035931393229176045e+00 9.894472638140585641e-01
7.086368177410030000e+00 8.890875263124042860e-01
7.136804961590884844e+00 9.552923629182972221e-01
7.187241745771739687e+00 9.604153738550419428e-01
7.237678529952592754e+00 9.362485717026906018e-01
7.288115314133447598e+00 8.851156242739087743e-01
7.338552098314302441e+00 8.335077601020450810e-01
7.388988882495156396e+00 8.425965497609120280e-01
7.439425666676010351e+00 8.982246089063214978e-01
7.489862450856865195e+00 9.589833416692502555e-01
7.540299235037719150e+00 9.220781991670405908e-01
7.590736019218573105e+00 1.095295737771999400e+00
7.641172803399427949e+00 1.313078195757143574e+00
7.691609587580282792e+00 1.120009756632078357e+00
7.742046371761135859e+00 9.153489707606005110e-01
7.792483155941990702e+00 8.640482482409630460e-01
7.842919940122845546e+00 9.505199680400151507e-01
7.893356724303699501e+00 9.873927752746007869e-01
7.943793508484553456e+00 9.715965433646938099e-01
7.994230292665408300e+00 9.612577919130297355e-01
