# q S(q)
2.011039727683327172e+00 4.720655160475342726e-02
2.038400812413712515e+00 1.110840273123217814e-01
2.065761897144097858e+00 2.042869713185282432e-01
2.093122981874483202e+00 9.091977668008402458e-02
2.120484066604868545e+00 1.944454049249848826e-01
2.147845151335253888e+00 1.499003360491026060e-01
2.175206236065639231e+00 6.434559088999558529e-02
2.202567320796025019e+00 4.371402428056185563e-02
2.229928405526410362e+00 4.773583904513614695e-02
2.257289490256795705e+00 5.902945054267513120e-02
2.284650574987181049e+00 5.496040627855543204e-02
2.312011659717566392e+00 8.299079777891854581e-02
2.339372744447951735e+00 2.565835157035951664e-01
2.366733829178337523e+00 5.658377399708034439e-01
2.394094913908722866e+00 1.087160942383431639e+00
2.421455998639108209e+00 3.805867510088943306e-01
2.448817083369493552e+00 8.592165024935689843e-02
2.476178168099878896e+00 6.785334809208502793e-02
2.503539252830264239e+00 3.781314266553665454e-02
2.530900337560649582e+00 3.387109276024900112e-02
2.558261422291034926e+00 1.078019430818426827e-01
2.585622507021420269e+00 1.123655054939065312e-01
2.612983591751806056e+00 1.054745480861932622e-01
2.640344676482191399e+00 2.099894442880030354e-01
2.667705761212576743e+00 2.242208110112425268e-01
2.695066845942962086e+00 2.930177135947414357e-01
2.722427930673347429e+00 2.477117403103637205e-01
2.749789015403732773e+00 3.205688438908405047e-01
2.777150100134118560e+00 3.727920545563378485e-01
2.804511184864503903e+00 3.601170249492545716e-01
2.831872269594889246e+00 5.236622781748614397e-01
2.859233354325274590e+00 1.246653527721845345e+00
2.886594439055659933e+00 1.301625219534539912e+00
2.913955523786045276e+00 7.514038570240849424e+00
2.941316608516430620e+00 2.671091232720944930e+01
2.968677693246815963e+00 4.378221221413983955e+01
2.996038777977201306e+00 1.027980703908666094e+01
3.023399862707587094e+00 2.896638824141188007e+00
3.050760947437972437e+00 1.536069775356690092e+00
3.078122032168357780e+00 1.362924386868167970e+00
3.105483116898743123e+00 5.357267301115403724e-01
3.132844201629128467e+00 4.845467781280040631e-01
3.160205286359513810e+00 5.189919532879851971e-01
3.187566371089899597e+00 2.671515261402868657e-01
3.214927455820284941e+00 3.968747344190560189e-01
3.242288540550670284e+00 4.895297621577296976e-01
3.269649625281055627e+00 5.458028844465698803e-01
3.297010710011440970e+00 4.166182641452358393e-01
3.324371794741826314e+00 3.007766779377166189e-01
3.351732879472211657e+00 2.741225070067584979e-01
3.379093964202597000e+00 6.635514723417630378e-01
3.406455048932982344e+00 2.042480895578937083e+00
3.433816133663368131e+00 2.253340196330824163e+00
3.461177218393753474e+00 6.583421933504381984e-01
3.488538303124138817e+00 3.443409344377192927e-01
3.515899387854524161e+00 6.520210450606561681e-01
3.543260472584909504e+00 2.084617916393761039e+00
3.570621557315294847e+00 4.243635359545115726e+00
3.597982642045680635e+00 1.644212262754991771e+00
3.625343726776065978e+00 3.990395596780949572e-01
3.652704811506451321e+00 3.097154191165717441e-01
3.680065896236836664e+00 6.406629425045330395e-01
3.707426980967222008e+00 5.548121801461330937e-01
3.734788065697607351e+00 2.748493025147676350e-01
3.762149150427992694e+00 4.101153875830394480e-01
3.789510235158378038e+00 1.997993570056875168e-01
3.816871319888763381e+00 1.816654518405631247e-01
3.844232404619149168e+00 1.562430964432723335e-01
3.871593489349534511e+00 2.994758782052008295e-01
3.898954574079919855e+00 2.769888861477357578e-01
3.926315658810305198e+00 1.005006983676523524e-01
3.953676743540690541e+00 1.328041832770632258e-01
3.981037828271075885e+00 7.528781306289930586e-02
4.008398913001461672e+00 1.337999221912653525e-01
4.035759997731847015e+00 2.189196111908513487e-01
4.063121082462232359e+00 1.750796324457584430e-01
4.090482167192617702e+00 4.086927984162667116e-01
4.117843251923003045e+00 1.399074564064213932e+00
4.145204336653388388e+00 1.073460205805042644e+00
4.172565421383773732e+00 1.146123278507689580e+00
4.199926506114159075e+00 1.023832418043940429e+00
4.227287590844544418e+00 4.190458685744085643e-01
4.254648675574929761e+00 2.017429387959430165e-01
4.282009760305315105e+00 1.910646257448501417e-01
4.309370845035700448e+00 8.328972429141168199e-02
4.336731929766086679e+00 6.903611751805968644e-02
4.364093014496472023e+00 5.892718540750360029e-02
4.391454099226857366e+00 8.505021013622275639e-02
4.418815183957242709e+00 2.544036895546680777e-01
4.446176268687628053e+00 9.775919635971539456e-01
4.473537353418013396e+00 5.908122372870006078e-01
4.500898438148398739e+00 1.874172442160624730e+00
4.528259522878784082e+00 2.936577814314924151e+00
4.555620607609169426e+00 1.380331284555252447e+00
4.582981692339554769e+00 4.444118517620425646e-01
4.610342777069940112e+00 4.959774619205774004e-01
4.637703861800325456e+00 4.030254625914251321e-01
4.665064946530710799e+00 1.888425467310599071e-01
4.692426031261096142e+00 2.973823218763620990e-01
4.719787115991481485e+00 3.859375829893615384e-01
4.747148200721866829e+00 6.127523805028192161e-01
4.774509285452253060e+00 5.713639947744192371e-01
4.801870370182638403e+00 6.851267793485847912e-01
4.829231454913023747e+00 5.951414342368868127e-01
4.856592539643409090e+00 5.984337311493790335e-01
4.883953624373794433e+00 1.648634511330566432e-01
4.911314709104179776e+00 1.608498657025755063e-01
4.938675793834565120e+00 1.601643779132184975e-01
4.966036878564950463e+00 2.588047138818336257e-01
4.993397963295335806e+00 2.627743643096898674e-01
5.020759048025721150e+00 6.387397778486277877e-01
5.048120132756106493e+00 1.049366303107511111e+00
5.075481217486491836e+00 1.771070999181234340e+00
5.102842302216877179e+00 7.942918255874112710e+00
5.130203386947262523e+00 1.833793537212118707e+01
5.157564471677648754e+00 9.102991834641997571e+00
5.184925556408034097e+00 2.230421191049190011e+00
5.212286641138419441e+00 8.300326274920249991e-01
5.239647725868804784e+00 7.894409526446924952e-01
5.267008810599190127e+00 4.236066594212861136e-01
5.294369895329575471e+00 6.019757390180315859e-01
5.321730980059960814e+00 1.198707341082289712e+00
5.349092064790346157e+00 1.218120635119890105e+00
5.376453149520731500e+00 5.682186977826638730e-01
5.403814234251116844e+00 3.834852118201350080e-01
5.431175318981502187e+00 3.796387014406665261e-01
5.458536403711887530e+00 6.233996790269917820e-01
5.485897488442272873e+00 1.909372668765670689e+00
5.513258573172658217e+00 2.024546675486048830e+00
5.540619657903043560e+00 7.795148944373089250e-01
5.567980742633428903e+00 2.408149863669183099e-01
5.595341827363815135e+00 3.243898756040253240e-01
5.622702912094200478e+00 6.171384908189655460e-01
5.650063996824585821e+00 7.609176040765430749e-01
5.677425081554971165e+00 5.516905869559896036e-01
5.704786166285356508e+00 4.274965884023033680e-01
5.732147251015741851e+00 3.675206869129811205e-01
5.759508335746127194e+00 2.187370953354852154e-01
5.786869420476512538e+00 2.236810782721099788e-01
5.814230505206897881e+00 4.468813026637976082e-01
5.841591589937283224e+00 5.331903216165564396e-01
5.868952674667668568e+00 1.141550914343786305e+00
5.896313759398053911e+00 9.511650901392316726e+00
5.923674844128439254e+00 1.593414116068240105e+01
5.951035928858824597e+00 1.114466330366799518e+01
5.978397013589210829e+00 1.763756334855572483e+00
6.005758098319596172e+00 8.960039320086204961e-01
6.033119183049981515e+00 7.651310866918862308e-01
6.060480267780366859e+00 5.752156656644394905e-01
6.087841352510752202e+00 6.652858522524751628e-01
6.115202437241137545e+00 7.165172769897544258e-01
6.142563521971522889e+00 2.226680018694176422e+00
6.169924606701908232e+00 4.174538359064627002e+00
6.197285691432293575e+00 3.285211265942484360e+00
6.224646776162678918e+00 1.120101059909213159e+00
6.252007860893064262e+00 5.634861105481158150e-01
6.279368945623449605e+00 3.910708946312853040e-01
6.306730030353834948e+00 2.626479144758855355e-01
6.334091115084220291e+00 2.354973850877613295e-01
6.361452199814605635e+00 2.336840741775530750e-01
6.388813284544990978e+00 3.835894586077024937e-01
6.416174369275377209e+00 5.357542941775930156e-01
6.443535454005762553e+00 2.563061776964024596e-01
6.470896538736147896e+00 5.853464909251895332e-01
6.498257623466533239e+00 7.933391547762282947e-01
6.525618708196918583e+00 8.262645154967994676e-01
6.552979792927303926e+00 4.115321513658850017e-01
6.580340877657689269e+00 8.143871412869906345e-01
6.607701962388074612e+00 7.979926930362596371e-01
6.635063047118459956e+00 5.808073459808951178e-01
6.662424131848845299e+00 6.425084372239064923e-01
6.689785216579230642e+00 7.311963064506483700e-01
6.717146301309615986e+00 1.025127011019577150e+00
6.744507386040001329e+00 9.090759231307830035e-01
6.771868470770386672e+00 3.846268118932059665e-01
6.799229555500772904e+00 2.531729990831568244e-01
6.826590640231158247e+00 7.578279623796931874e-01
6.853951724961543590e+00 8.527157837722922906e-01
6.881312809691928933e+00 4.275624307865079632e-01
6.908673894422314277e+00 4.022729518129029569e-01
6.936034979152699620e+00 4.172267573142411368e-01
6.963396063883084963e+00 4.950508520534364632e-01
6.990757148613470306e+00 8.650660120168097711e-01
7.018118233343855650e+00 7.346410044179969567e-01
7.045479318074240993e+00 6.247138175300205321e-01
7.072840402804626336e+00 1.089237192911609808e+00
7.100201487535011680e+00 3.361677325750027645e+00
7.127562572265397023e+00 1.434877804817222824e+00
7.154923656995782366e+00 8.645753556634548920e-01
7.182284741726167709e+00 4.060855456593374657e-01
7.209645826456553053e+00 6.268339614716349484e-01
7.237006911186939284e+00 5.362298829668603606e-01
7.264367995917324627e+00 9.150869362741276269e-01
7.291729080647709971e+00 1.090138080486496186e+00
7.319090165378095314e+00 7.247298914651685298e-01
7.346451250108480657e+00 3.380855990025534719e-01
7.373812334838866001e+00 7.253199360360509385e-01
7.401173419569251344e+00 1.212098106791926311e+00
7.428534504299636687e+00 1.335816429960174467e+00
7.455895589030022030e+00 8.173759941478037083e-01
7.483256673760407374e+00 8.780010196262230115e-01
7.510617758490792717e+00 3.947335377167476844e-01
7.537978843221178060e+00 3.723314426424877421e-01
7.565339927951563403e+00 3.173214162688898776e-01
7.592701012681948747e+00 4.047621678022704228e-01
