# q S(q)
2.013953267251003432e+00 7.688506917729110990e-01
2.066263741725055780e+00 8.029639968780778458e-01
2.118574216199107241e+00 9.019322156099797150e-01
2.170884690673159589e+00 9.133558993085880706e-01
2.223195165147211494e+00 9.660253638304542312e-01
2.275505639621263398e+00 1.018798950776363288e+00
2.327816114095315747e+00 1.064665600967475312e+00
2.380126588569367652e+00 1.120679167346174232e+00
2.432437063043419556e+00 1.150009101009892731e+00
2.484747537517471905e+00 1.215249930107653142e+00
2.537058011991523809e+00 1.200470400546679306e+00
2.589368486465575714e+00 1.202192984090346473e+00
2.641678960939628062e+00 1.215028792320248963e+00
2.693989435413679523e+00 1.274610109361220989e+00
2.746299909887731872e+00 1.269355660843658251e+00
2.798610384361784220e+00 1.225673681030844619e+00
2.850920858835835681e+00 1.226268108470899953e+00
2.903231333309888029e+00 1.241535694503699938e+00
2.955541807783940378e+00 1.200924598186603465e+00
3.007852282257991838e+00 1.218352600618836989e+00
3.060162756732044187e+00 1.263354400722770610e+00
3.112473231206096536e+00 1.258029328112434841e+00
3.164783705680147996e+00 1.237137332332202355e+00
3.217094180154200345e+00 1.251179477521792371e+00
3.269404654628252249e+00 1.225967346064231300e+00
3.321715129102304154e+00 1.229501209994302569e+00
3.374025603576356502e+00 1.229599014984962269e+00
3.426336078050408407e+00 1.165259154863112823e+00
3.478646552524460311e+00 1.133847360082889555e+00
3.530957026998512660e+00 1.132860656328223747e+00
3.583267501472564120e+00 1.098736683653981583e+00
3.635577975946616469e+00 1.075494646837490853e+00
3.687888450420668818e+00 1.025207516548858555e+00
3.740198924894720278e+00 9.713652560174821371e-01
3.792509399368772627e+00 9.480083394622833559e-01
3.844819873842824975e+00 9.338751596342255157e-01
3.897130348316876436e+00 8.930768929242419718e-01
3.949440822790928785e+00 8.619083603151419526e-01
4.001751297264981133e+00 8.546971855877952828e-01
4.054061771739032594e+00 8.491687361928833555e-01
4.106372246213084942e+00 8.330839264282510204e-01
4.158682720687137291e+00 8.090073857982389427e-01
4.210993195161188751e+00 8.048812195694506899e-01
4.263303669635241100e+00 7.982014413932455588e-01
4.315614144109293449e+00 8.025893966706767468e-01
4.367924618583344909e+00 7.957522655446108706e-01
4.420235093057396369e+00 8.033212412806131075e-01
4.472545567531449606e+00 8.191756127421528921e-01
4.524856042005501067e+00 8.255242136547440435e-01
4.577166516479552527e+00 8.486760020872108345e-01
4.629476990953605764e+00 8.904509839394586512e-01
4.681787465427657224e+00 8.815903884367456422e-01
4.734097939901708685e+00 8.783613620593857529e-01
4.786408414375761922e+00 9.271049796874230031e-01
4.838718888849813382e+00 9.706473738310612553e-01
4.891029363323864843e+00 1.000840182632518838e+00
4.943339837797918079e+00 1.001500349674940393e+00
4.995650312271969540e+00 9.943948098318793338e-01
5.047960786746021000e+00 9.936456961617146089e-01
5.100271261220074237e+00 1.015352700190250035e+00
5.152581735694125697e+00 1.059518679431337596e+00
5.204892210168177158e+00 1.048221321691143793e+00
5.257202684642229507e+00 1.053650063709286933e+00
5.309513159116281855e+00 1.086571733274819929e+00
5.361823633590333316e+00 1.085743584285235652e+00
5.414134108064385664e+00 1.103792711963473172e+00
5.466444582538438013e+00 1.127678395980783455e+00
5.518755057012489473e+00 1.121246696457823600e+00
5.571065531486541822e+00 1.109357348452130410e+00
5.623376005960594171e+00 1.069023404416088452e+00
5.675686480434645631e+00 1.095489309075491580e+00
5.727996954908697980e+00 1.096642683190421463e+00
5.780307429382750328e+00 1.112028248814250331e+00
5.832617903856801789e+00 1.081933838868216702e+00
5.884928378330854137e+00 1.035941646467844812e+00
5.937238852804906486e+00 1.034587282804044772e+00
5.989549327278957946e+00 1.048192923386018771e+00
6.041859801753010295e+00 1.034445921439596017e+00
6.094170276227062644e+00 1.007178619753152926e+00
6.146480750701114104e+00 1.015848713671497983e+00
6.198791225175166453e+00 1.021553033690488776e+00
6.251101699649218801e+00 1.000778143590930647e+00
6.303412174123270262e+00 1.011409614344138674e+00
6.355722648597321722e+00 1.013155033302765906e+00
6.408033123071374959e+00 1.008428167367392048e+00
6.460343597545426420e+00 9.817211267398471275e-01
6.512654072019477880e+00 9.795106377670920184e-01
6.564964546493531117e+00 9.764859834078791767e-01
6.617275020967582577e+00 9.510093603943545748e-01
6.669585495441634038e+00 9.621344124545027077e-01
6.721895969915687274e+00 9.627195524698271001e-01
6.774206444389738735e+00 9.576345996243891268e-01
6.826516918863790195e+00 9.597198538428398651e-01
6.878827393337843432e+00 9.489142925821434371e-01
6.931137867811894893e+00 9.235163907487865531e-01
6.983448342285946353e+00 9.300473015029665502e-01
7.035758816759999590e+00 9.515194171378196231e-01
7.088069291234051050e+00 9.563131935545007289e-01
7.140379765708102511e+00 9.643102862213569493e-01
7.192690240182154859e+00 9.652252161280717724e-01
7.245000714656207208e+00 9.630060054692913818e-01
7.297311189130258668e+00 9.572219180842265196e-01
7.349621663604311017e+00 9.588817773833472335e-01
7.401932138078363366e+00 9.697636950678669709e-01
7.454242612552414826e+00 9.669557411339674280e-01
7.506553087026467175e+00 9.692761369881816025e-01
7.558863561500519523e+00 9.929379613650779479e-01
7.611174035974570984e+00 9.846562632772664081e-01
7.663484510448623332e+00 9.821333157932814473e-01
7.715794984922675681e+00 9.882643950233280794e-01
7.768105459396727142e+00 9.906084415578413349e-01
7.820415933870779490e+00 1.027378235263904260e+00
7.872726408344831839e+00 1.030192748976964445e+00
7.925036882818883299e+00 1.022570587773809825e+00
7.977347357292936536e+00 1.038716367178782907e+00
