# q S(q)
2.013953267251003432e+00 4.646218146198725307e+00
2.066263741725055780e+00 2.812271954889541625e+00
2.118574216199107241e+00 5.613429815050150484e-01
2.170884690673159589e+00 4.612430034048251026e-01
2.223195165147211494e+00 2.898142914012277749e-01
2.275505639621263398e+00 3.046434627965178832e-01
2.327816114095315747e+00 2.775635046174246834e-01
2.380126588569367652e+00 2.718333675961644991e-01
2.432437063043419556e+00 3.083050633732309365e-01
2.484747537517471905e+00 2.966358845514767695e-01
2.537058011991523809e+00 3.587150744031203931e-01
2.589368486465575714e+00 3.414497519455687580e-01
2.641678960939628062e+00 3.646584770135229414e-01
2.693989435413679523e+00 5.656435399926604823e-01
2.746299909887731872e+00 6.663855435482228806e-01
2.798610384361784220e+00 1.880968335479878961e+00
2.850920858835835681e+00 4.755178489642414519e+00
2.903231333309888029e+00 3.069924972341825153e+00
2.955541807783940378e+00 7.579922699914619644e-01
3.007852282257991838e+00 7.272334531112603084e-01
3.060162756732044187e+00 5.825664627870510426e-01
3.112473231206096536e+00 6.242475189319065532e-01
3.164783705680147996e+00 6.911321820051266052e-01
3.217094180154200345e+00 1.005577972958981103e+00
3.269404654628252249e+00 2.025793179751909978e+00
3.321715129102304154e+00 2.266133517482692206e+00
3.374025603576356502e+00 1.116021575388832510e+00
3.426336078050408407e+00 1.308653789273858559e+00
3.478646552524460311e+00 2.698374034033438562e+00
3.530957026998512660e+00 2.099448014610593827e+00
3.583267501472564120e+00 9.031152366490255989e-01
3.635577975946616469e+00 6.668560897122344233e-01
3.687888450420668818e+00 6.237562073481635050e-01
3.740198924894720278e+00 6.041352496545494555e-01
3.792509399368772627e+00 9.226094285462561606e-01
3.844819873842824975e+00 1.766427671754599915e+00
3.897130348316876436e+00 1.343241546816503762e+00
3.949440822790928785e+00 6.537503920350313802e-01
4.001751297264981133e+00 4.642157771067033645e-01
4.054061771739032594e+00 4.375568280676971344e-01
4.106372246213084942e+00 4.116698870705098323e-01
4.158682720687137291e+00 4.053160866215573255e-01
4.210993195161188751e+00 3.994552559161924643e-01
4.263303669635241100e+00 4.044375630829259438e-01
4.315614144109293449e+00 4.164620217162831040e-01
4.367924618583344909e+00 4.295733084962323756e-01
4.420235093057396369e+00 4.602438349021819586e-01
4.472545567531449606e+00 4.777634210873514253e-01
4.524856042005501067e+00 5.298274319067168836e-01
4.577166516479552527e+00 6.378015698514614140e-01
4.629476990953605764e+00 1.208731407887386311e+00
4.681787465427657224e+00 1.244410639142861097e+00
4.734097939901708685e+00 1.001777793054216881e+00
4.786408414375761922e+00 1.361835819969168249e+00
4.838718888849813382e+00 1.150539992561224523e+00
4.891029363323864843e+00 7.905997734162375501e-01
4.943339837797918079e+00 7.554202072672542290e-01
4.995650312271969540e+00 8.664503406230348315e-01
5.047960786746021000e+00 1.186844865079982103e+00
5.100271261220074237e+00 1.336627301731976747e+00
5.152581735694125697e+00 9.311759459844390907e-01
5.204892210168177158e+00 8.360187825222356039e-01
5.257202684642229507e+00 8.379619922594812031e-01
5.309513159116281855e+00 8.976301016949764788e-01
5.361823633590333316e+00 9.647701337620984141e-01
5.414134108064385664e+00 1.343495099481789579e+00
5.466444582538438013e+00 1.713315455853972269e+00
5.518755057012489473e+00 1.374993278805539898e+00
5.571065531486541822e+00 1.068425372662839434e+00
5.623376005960594171e+00 1.102104035983746622e+00
5.675686480434645631e+00 1.617973261654635841e+00
5.727996954908697980e+00 1.839624366795366672e+00
5.780307429382750328e+00 1.273699070943358214e+00
5.832617903856801789e+00 1.096803665010147366e+00
5.884928378330854137e+00 1.033391009148493023e+00
5.937238852804906486e+00 9.564298383973880435e-01
5.989549327278957946e+00 1.132483767028273913e+00
6.041859801753010295e+00 1.543534497693175966e+00
6.094170276227062644e+00 1.346053368402100325e+00
6.146480750701114104e+00 9.745335555845223707e-01
6.198791225175166453e+00 8.734539585087435221e-01
6.251101699649218801e+00 8.369418249393777431e-01
6.303412174123270262e+00 8.307553381816299432e-01
6.355722648597321722e+00 8.380934166754586689e-01
6.408033123071374959e+00 8.371670971992846155e-01
6.460343597545426420e+00 8.108741820356543117e-01
6.512654072019477880e+00 8.835307722031660038e-01
6.564964546493531117e+00 9.988216848485708121e-01
6.617275020967582577e+00 1.085940276347568512e+00
6.669585495441634038e+00 1.180341406885783595e+00
6.721895969915687274e+00 1.067367098284486948e+00
6.774206444389738735e+00 8.656710447855894275e-01
6.826516918863790195e+00 7.830178687892196399e-01
6.878827393337843432e+00 7.667829533003469589e-01
6.931137867811894893e+00 7.628407778448136334e-01
6.983448342285946353e+00 7.631354722827996540e-01
7.035758816759999590e+00 7.697636443928358441e-01
7.088069291234051050e+00 7.796696165544545476e-01
7.140379765708102511e+00 9.328518543161608001e-01
7.192690240182154859e+00 9.843079494716365785e-01
7.245000714656207208e+00 8.671013710662627272e-01
7.297311189130258668e+00 8.118938266354916999e-01
7.349621663604311017e+00 8.425379660850442765e-01
7.401932138078363366e+00 8.709810708803793489e-01
7.454242612552414826e+00 9.251882325408882224e-01
7.506553087026467175e+00 9.095214181137301068e-01
7.558863561500519523e+00 8.917601359453608545e-01
7.611174035974570984e+00 9.822673088838932420e-01
7.663484510448623332e+00 1.013605351038825431e+00
7.715794984922675681e+00 9.314752895227758067e-01
7.768105459396727142e+00 9.243962803585166199e-01
7.820415933870779490e+00 9.539518292813261580e-01
7.872726408344831839e+00 9.774531252988645225e-01
7.925036882818883299e+00 9.820173691440572394e-01
7.977347357292936536e+00 9.853521507027314108e-01
