# q S(q)
2.013953267251003432e+00 6.317730012750391033e+00
2.066263741725055780e+00 3.947280552978390755e+00
2.118574216199107241e+00 9.278088788403742182e-01
2.170884690673159589e+00 8.018745007733105723e-01
2.223195165147211494e+00 5.500237074386962188e-01
2.275505639621263398e+00 5.937762499602364796e-01
2.327816114095315747e+00 5.347224299210465714e-01
2.380126588569367652e+00 5.132954767675071972e-01
2.432437063043419556e+00 5.491300808075596507e-01
2.484747537517471905e+00 4.867410932937735191e-01
2.537058011991523809e+00 5.109738955565777951e-01
2.589368486465575714e+00 5.006305289409516135e-01
2.641678960939628062e+00 5.390556783080144854e-01
2.693989435413679523e+00 5.569255166428167536e-01
2.746299909887731872e+00 5.779174824678237066e-01
2.798610384361784220e+00 5.817682877863101787e-01
2.850920858835835681e+00 6.235641241982203820e-01
2.903231333309888029e+00 6.605996292387709135e-01
2.955541807783940378e+00 6.860077251662907161e-01
3.007852282257991838e+00 7.253923518241018886e-01
3.060162756732044187e+00 7.871671918790070777e-01
3.112473231206096536e+00 8.315747102334093421e-01
3.164783705680147996e+00 9.468240827999708786e-01
3.217094180154200345e+00 1.360382997028938057e+00
3.269404654628252249e+00 2.272116891490622237e+00
3.321715129102304154e+00 2.501478662272770492e+00
3.374025603576356502e+00 1.345557368900928363e+00
3.426336078050408407e+00 1.054928288146107729e+00
3.478646552524460311e+00 9.257162534501260920e-01
3.530957026998512660e+00 9.124159599540785370e-01
3.583267501472564120e+00 8.612504750513609864e-01
3.635577975946616469e+00 8.167314193203581985e-01
3.687888450420668818e+00 8.433393587594313345e-01
3.740198924894720278e+00 8.797857454504202090e-01
3.792509399368772627e+00 1.098268180456594356e+00
3.844819873842824975e+00 1.764737690147551552e+00
3.897130348316876436e+00 1.431844232997605326e+00
3.949440822790928785e+00 8.325269753380567517e-01
4.001751297264981133e+00 6.591720488127568167e-01
4.054061771739032594e+00 6.317060118655078993e-01
4.106372246213084942e+00 6.093962805493354784e-01
4.158682720687137291e+00 6.140735879788405960e-01
4.210993195161188751e+00 6.132848676478197536e-01
4.263303669635241100e+00 5.961298989616696797e-01
4.315614144109293449e+00 6.127231149796441567e-01
4.367924618583344909e+00 6.179294526262587572e-01
4.420235093057396369e+00 6.281450338067363637e-01
4.472545567531449606e+00 6.544053207195066335e-01
4.524856042005501067e+00 7.327627785165303775e-01
4.577166516479552527e+00 8.111111833117304881e-01
4.629476990953605764e+00 1.153910090491335527e+00
4.681787465427657224e+00 1.146538571320142363e+00
4.734097939901708685e+00 8.730583539131387960e-01
4.786408414375761922e+00 8.190177603132177131e-01
4.838718888849813382e+00 8.228743622285260573e-01
4.891029363323864843e+00 8.619025321167128606e-01
4.943339837797918079e+00 9.182368305837045330e-01
4.995650312271969540e+00 1.022095231869149190e+00
5.047960786746021000e+00 1.232692499109784956e+00
5.100271261220074237e+00 1.342716762047592161e+00
5.152581735694125697e+00 1.106046073109150152e+00
5.204892210168177158e+00 1.039546939038329842e+00
5.257202684642229507e+00 1.024368131473429866e+00
5.309513159116281855e+00 1.046798140210793093e+00
5.361823633590333316e+00 1.051384314042000723e+00
5.414134108064385664e+00 1.088127560370530489e+00
5.466444582538438013e+00 1.148827554774919157e+00
5.518755057012489473e+00 1.165451114127919796e+00
5.571065531486541822e+00 1.231826950879188809e+00
5.623376005960594171e+00 1.225421340420324690e+00
5.675686480434645631e+00 1.564101828044278442e+00
5.727996954908697980e+00 1.657086289189405814e+00
5.780307429382750328e+00 1.297628476068832803e+00
5.832617903856801789e+00 1.172282167186101010e+00
5.884928378330854137e+00 1.169641678522434836e+00
5.937238852804906486e+00 1.159456697099377598e+00
5.989549327278957946e+00 1.222284897700549156e+00
6.041859801753010295e+00 1.427734207605727335e+00
6.094170276227062644e+00 1.284173373309296151e+00
6.146480750701114104e+00 1.062067940281247180e+00
6.198791225175166453e+00 1.011348160802340690e+00
6.251101699649218801e+00 9.841820879369808095e-01
6.303412174123270262e+00 9.574341730017309482e-01
6.355722648597321722e+00 9.420318551836655008e-01
6.408033123071374959e+00 9.323840756444411459e-01
6.460343597545426420e+00 9.278404335298632288e-01
6.512654072019477880e+00 9.392392895022944055e-01
6.564964546493531117e+00 9.820210931317171488e-01
6.617275020967582577e+00 9.900958723049609889e-01
6.669585495441634038e+00 8.997093387539258913e-01
6.721895969915687274e+00 8.599394071280545004e-01
6.774206444389738735e+00 8.193074910854015735e-01
6.826516918863790195e+00 8.331578377028192595e-01
6.878827393337843432e+00 8.160839377697853836e-01
6.931137867811894893e+00 7.890188065753126478e-01
6.983448342285946353e+00 7.907142168120124825e-01
7.035758816759999590e+00 7.924628813639709168e-01
7.088069291234051050e+00 8.054965149714764516e-01
7.140379765708102511e+00 8.123736570944505297e-01
7.192690240182154859e+00 8.125712050659471553e-01
7.245000714656207208e+00 8.282109295165926977e-01
7.297311189130258668e+00 8.383132366258692070e-01
7.349621663604311017e+00 8.541708452380296634e-01
7.401932138078363366e+00 8.638857490553653040e-01
7.454242612552414826e+00 8.915753840771074579e-01
7.506553087026467175e+00 9.119942197347964408e-01
7.558863561500519523e+00 9.367712562252161757e-01
7.611174035974570984e+00 9.810689971561848965e-01
7.663484510448623332e+00 9.934169334155640296e-01
7.715794984922675681e+00 9.966714935491393090e-01
7.768105459396727142e+00 1.000488676264954524e+00
7.820415933870779490e+00 1.031079209282943943e+00
7.872726408344831839e+00 1.043796728298408860e+00
7.925036882818883299e+00 1.063483396628704281e+00
7.977347357292936536e+00 1.080036196412288652e+00
