# q S(q)
2.013953267251003432e+00 5.191270563037533314e+00
2.066263741725055780e+00 3.183284228352784240e+00
2.118574216199107241e+00 6.994282717106816705e-01
2.170884690673159589e+00 5.861304042543321602e-01
2.223195165147211494e+00 3.983555143868870441e-01
2.275505639621263398e+00 3.871813963243056489e-01
2.327816114095315747e+00 3.346936308807576532e-01
2.380126588569367652e+00 3.157843569988427190e-01
2.432437063043419556e+00 3.505120485038998313e-01
2.484747537517471905e+00 3.450299960322532056e-01
2.537058011991523809e+00 3.929056410653399278e-01
2.589368486465575714e+00 4.009771977931051445e-01
2.641678960939628062e+00 4.313836291992643734e-01
2.693989435413679523e+00 5.316117816968095600e-01
2.746299909887731872e+00 6.109649535509834584e-01
2.798610384361784220e+00 1.370740542863375433e+00
2.850920858835835681e+00 3.167259884961205696e+00
2.903231333309888029e+00 2.123081554933041737e+00
2.955541807783940378e+00 7.244158535884944738e-01
3.007852282257991838e+00 7.011696866047696375e-01
3.060162756732044187e+00 6.435087546567390682e-01
3.112473231206096536e+00 6.831387305721691172e-01
3.164783705680147996e+00 7.485695971316255193e-01
3.217094180154200345e+00 1.130829613687893254e+00
3.269404654628252249e+00 2.170358037640243598e+00
3.321715129102304154e+00 2.453988759754820670e+00
3.374025603576356502e+00 1.246716044263280532e+00
3.426336078050408407e+00 1.203834352858420553e+00
3.478646552524460311e+00 1.979960540398986391e+00
3.530957026998512660e+00 1.611972039658619238e+00
3.583267501472564120e+00 9.159379226942131469e-01
3.635577975946616469e+00 7.557465113553402114e-01
3.687888450420668818e+00 6.763166713347816827e-01
3.740198924894720278e+00 6.612482018601505418e-01
3.792509399368772627e+00 1.034841533524148538e+00
3.844819873842824975e+00 1.935209083396596474e+00
3.897130348316876436e+00 1.472780019427529785e+00
3.949440822790928785e+00 7.597422531704730586e-01
4.001751297264981133e+00 5.740508751022177503e-01
4.054061771739032594e+00 5.320220865741144278e-01
4.106372246213084942e+00 4.887170622036928203e-01
4.158682720687137291e+00 4.869429260931564252e-01
4.210993195161188751e+00 4.956378488121384041e-01
4.263303669635241100e+00 4.924299334855880561e-01
4.315614144109293449e+00 4.864508795744662550e-01
4.367924618583344909e+00 4.964360143747578169e-01
4.420235093057396369e+00 5.295565722661189634e-01
4.472545567531449606e+00 5.468978028342403874e-01
4.524856042005501067e+00 5.942140293157506248e-01
4.577166516479552527e+00 6.979333020995861503e-01
4.629476990953605764e+00 1.267566648644432359e+00
4.681787465427657224e+00 1.250673962197233369e+00
4.734097939901708685e+00 9.416055421761977406e-01
4.786408414375761922e+00 1.134929321541784830e+00
4.838718888849813382e+00 1.009627780891333426e+00
4.891029363323864843e+00 7.992629209657419187e-01
4.943339837797918079e+00 8.070616997194589581e-01
4.995650312271969540e+00 9.250817435681225609e-01
5.047960786746021000e+00 1.228763980014554669e+00
5.100271261220074237e+00 1.391606561432580325e+00
5.152581735694125697e+00 1.021915220618224707e+00
5.204892210168177158e+00 9.028824520311902191e-01
5.257202684642229507e+00 8.903533397603971000e-01
5.309513159116281855e+00 9.379008342319898883e-01
5.361823633590333316e+00 9.844324287248625849e-01
5.414134108064385664e+00 1.205702491949852240e+00
5.466444582538438013e+00 1.467516129044211359e+00
5.518755057012489473e+00 1.300574976862959753e+00
5.571065531486541822e+00 1.105745303031715920e+00
5.623376005960594171e+00 1.142592052054533180e+00
5.675686480434645631e+00 1.645107210287368504e+00
5.727996954908697980e+00 1.821859002280907358e+00
5.780307429382750328e+00 1.331518176244325335e+00
5.832617903856801789e+00 1.120561795456954446e+00
5.884928378330854137e+00 1.071268190098797035e+00
5.937238852804906486e+00 1.017271858825992581e+00
5.989549327278957946e+00 1.189109613056944514e+00
6.041859801753010295e+00 1.558621122438623052e+00
6.094170276227062644e+00 1.319544469563501465e+00
6.146480750701114104e+00 9.782740019974174306e-01
6.198791225175166453e+00 9.073876570830645694e-01
6.251101699649218801e+00 8.682437941170338958e-01
6.303412174123270262e+00 8.521239434494521925e-01
6.355722648597321722e+00 8.541886009705417226e-01
6.408033123071374959e+00 8.355198339101098659e-01
6.460343597545426420e+00 8.451666651563584098e-01
6.512654072019477880e+00 8.961080136047728795e-01
6.564964546493531117e+00 1.002484989258159764e+00
6.617275020967582577e+00 1.091939932232392829e+00
6.669585495441634038e+00 1.083964508215826017e+00
6.721895969915687274e+00 9.733243260241778438e-01
6.774206444389738735e+00 8.430103531359333102e-01
6.826516918863790195e+00 7.893974816328384048e-01
6.878827393337843432e+00 7.881658221029833600e-01
6.931137867811894893e+00 7.862917249696299571e-01
6.983448342285946353e+00 7.673417647539837461e-01
7.035758816759999590e+00 7.535105972970337351e-01
7.088069291234051050e+00 7.693790567934939428e-01
7.140379765708102511e+00 8.645524263261592512e-01
7.192690240182154859e+00 8.819503197406770578e-01
7.245000714656207208e+00 8.387770340055233920e-01
7.297311189130258668e+00 8.147648334156145644e-01
7.349621663604311017e+00 8.375409055188514085e-01
7.401932138078363366e+00 8.605803001511708183e-01
7.454242612552414826e+00 9.201653504214595269e-01
7.506553087026467175e+00 9.050202593044878174e-01
7.558863561500519523e+00 8.964408812016844141e-01
7.611174035974570984e+00 9.820470280355669823e-01
7.663484510448623332e+00 1.025700360081265972e+00
7.715794984922675681e+00 9.949687764167599591e-01
7.768105459396727142e+00 9.686997510642648690e-01
7.820415933870779490e+00 9.857897237839330362e-01
7.872726408344831839e+00 1.011610456635341215e+00
7.925036882818883299e+00 1.036008157504752836e+00
7.977347357292936536e+00 1.043861358013134399e+00
