# x_center(A)  geometric_density(atoms/A3)  local_density(1/<V>)
55.73325662  0.05504662  0.05561093
56.05082503  0.05660226  0.05570172
56.36839345  0.05676482  0.05600130
56.68596186  0.05925694  0.05588957
57.00353027  0.05520488  0.05587944
57.32109869  0.05607244  0.05619119
57.63866710  0.05797346  0.05568570
57.95623552  0.05542239  0.05600887
58.27380393  0.05744026  0.05561823
58.59137234  0.05576294  0.05586593
58.90894076  0.05660410  0.05635176
59.22650917  0.05703160  0.05566543
59.54407759  0.05666889  0.05572200
59.86164600  0.05589200  0.05586218
60.17921441  0.05882781  0.05550055
60.49678283  0.05713112  0.05562162
60.81435124  0.05699096  0.05562975
61.13191965  0.05352600  0.05570514
61.44948807  0.05208346  0.05546933
61.76705648  0.05916353  0.05510052
62.08462490  0.05682259  0.05572099
62.40219331  0.05557845  0.05518100
62.71976172  0.05720353  0.05563631
63.03733014  0.05866270  0.05558240
63.35489855  0.05598257  0.05536324
63.67246696  0.05335789  0.05573381
63.99003538  0.05668019  0.05581395
64.30760379  0.05848442  0.05562327
64.62517221  0.05679126  0.05594486
64.94274062  0.05466719  0.05598305
65.26030903  0.05726119  0.05544262
65.57787745  0.05874380  0.05544421
65.89544586  0.05759933  0.05553496
66.21301427  0.05325253  0.05552793
66.53058269  0.05898475  0.05541739
66.84815110  0.05660180  0.05629656
67.16571952  0.05425963  0.05588918
67.48328793  0.06014986  0.05600408
67.80085634  0.05937271  0.05553837
68.11842476  0.05659751  0.05536948
68.43599317  0.05132518  0.05547936
68.75356158  0.05258401  0.05593351
69.07113000  0.05412359  0.05558214
69.38869841  0.06025515  0.05565680
69.70626683  0.06090948  0.05550858
70.02383524  0.05912005  0.05515091
70.34140365  0.05524548  0.05526848
70.65897207  0.05379376  0.05581788
70.97654048  0.05393260  0.05499671
71.29410890  0.05586539  0.05561308
71.61167731  0.05883789  0.05524411
71.92924572  0.05523533  0.05552304
72.24681414  0.05605718  0.05489045
72.56438255  0.05471496  0.05501901
72.88195096  0.05700641  0.05454555
73.19951938  0.05851501  0.05514927
73.51708779  0.05594074  0.05440472
73.83465621  0.05794910  0.05381180
74.15222462  0.05359690  0.05418825
74.46979303  0.05210356  0.05360782
74.78736145  0.05554512  0.05300477
75.10492986  0.05529476  0.05266343
75.42249827  0.05204786  0.05218209
75.74006669  0.04771291  0.05292226
76.05763510  0.05187543  0.05195387
76.37520352  0.06255039  0.05128248
76.69277193  0.06213712  0.05159558
77.01034034  0.03851973  0.05188969
77.32790876  0.04200158  0.05091319
77.64547717  0.06878693  0.05045399
77.96304558  0.06983121  0.05060955
78.28061400  0.05225838  0.05079709
78.59818241  0.02688737  0.05122990
78.91575083  0.06664044  0.04994500
79.23331924  0.08155424  0.05018597
79.55088765  0.06902779  0.05016154
79.86845607  0.03411066  0.04998874
80.18602448  0.04734110  0.04971973
80.50359290  0.08820243  0.04999273
80.82116131  0.08864292  0.05034240
81.13872972  0.04805727  0.05032866
81.45629814  0.02554430  0.04994076
81.77386655  0.08322540  0.04973449
82.09143496  0.09558540  0.05015329
82.40900338  0.06835816  0.04990317
82.72657179  0.02663232  0.05010078
83.04414021  0.06645269  0.04967940
83.36170862  0.09777984  0.05008842
83.67927703  0.08371022  0.05015890
83.99684545  0.04550885  0.04987904
84.31441386  0.04665211  0.04953528
84.63198227  0.09289800  0.05007908
84.94955069  0.10058985  0.05003813
85.26711910  0.07062331  0.05016614
85.58468752  0.02471528  0.05001547
85.90225593  0.08527561  0.04982911
86.21982434  0.09997234  0.05007747
86.53739276  0.07870597  0.05006166
86.85496117  0.04209309  0.04995080
87.17252958  0.06097181  0.04976441
87.49009800  0.10452587  0.04999600
87.80766641  0.09293368  0.04990473
88.12523483  0.06901347  0.05000308
88.44280324  0.03898990  0.04987231
88.76037165  0.09886174  0.05004382
89.07794007  0.09736963  0.05007694
89.39550848  0.07682520  0.04978344
89.71307689  0.03565277  0.04982454
90.03064531  0.07869230  0.04988275
90.34821372  0.10291195  0.05010120
90.66578214  0.08520976  0.05000152
90.98335055  0.06047079  0.04967615
91.30091896  0.05112933  0.05003673
91.61848738  0.10541181  0.04991653
91.93605579  0.09087454  0.05014947
92.25362421  0.07128496  0.04972889
92.57119262  0.03557239  0.04995120
92.88876103  0.09367157  0.05011501
93.20632945  0.09849166  0.04997965
93.52389786  0.08246852  0.04994435
93.84146627  0.03886332  0.04907222
94.15903469  0.06753976  0.05017286
94.47660310  0.10395137  0.05002624
94.79417152  0.08396703  0.04988490
95.11173993  0.06579084  0.04946236
95.42930834  0.04187380  0.04997619
95.74687676  0.09892101  0.04990195
96.06444517  0.09542134  0.05007102
96.38201358  0.08887359  0.04968199
96.69958200  0.03332483  0.05024712
97.01715041  0.07957186  0.04992297
97.33471883  0.10159663  0.05000532
97.65228724  0.08362488  0.04995446
97.96985565  0.05261470  0.04988692
98.28742407  0.05767700  0.04974633
98.60499248  0.10178306  0.05014928
98.92256089  0.08298041  0.05002191
99.24012931  0.08060153  0.04991898
99.55769772  0.03732028  0.04985216
99.87526614  0.09395972  0.04994980
100.19283455  0.09584601  0.05012995
100.51040296  0.08126448  0.05017500
100.82797138  0.03579714  0.04962738
101.14553979  0.07798820  0.04982190
101.46310820  0.10556033  0.04999380
101.78067662  0.08714325  0.04999902
102.09824503  0.06814049  0.04988629
102.41581345  0.05021577  0.04929543
102.73338186  0.10584601  0.04983238
103.05095027  0.09345567  0.04994166
103.36851869  0.08039028  0.04997926
103.68608710  0.03682819  0.05032583
104.00365552  0.08704341  0.04963139
104.32122393  0.09999639  0.04991260
104.63879234  0.07734562  0.04990032
104.95636076  0.04969584  0.05001765
105.27392917  0.06070582  0.05003658
105.59149758  0.10344665  0.04981121
105.90906600  0.08916791  0.05006254
106.22663441  0.07080689  0.04958210
106.54420283  0.03944691  0.04956052
106.86177124  0.09919798  0.04983087
107.17933965  0.09550051  0.05001947
107.49690807  0.07776238  0.05007340
107.81447648  0.04796959  0.04957867
108.13204489  0.07733037  0.04974343
108.44961331  0.10098331  0.05009785
108.76718172  0.08521746  0.04988939
109.08475014  0.06857246  0.04933951
109.40231855  0.05173837  0.04970258
109.71988696  0.10769208  0.04998465
110.03745538  0.09197785  0.05014845
110.35502379  0.07342627  0.05008041
110.67259220  0.03817344  0.05064977
110.99016062  0.09221504  0.05000676
111.30772903  0.10026527  0.05007839
111.62529745  0.08106188  0.05012515
111.94286586  0.07284365  0.05012159
112.26043427  0.06881894  0.05014630
112.57800269  0.10722742  0.05012205
112.89557110  0.08841946  0.05016069
113.21313952  0.07990037  0.04961706
113.53070793  0.04173351  0.04964594
113.84827634  0.10438078  0.05001200
114.16584476  0.09818420  0.05002447
114.48341317  0.06885079  0.05003451
114.80098158  0.05207843  0.04966958
115.11855000  0.08305878  0.04966461
115.43611841  0.10386138  0.04994203
115.75368683  0.07693361  0.05008317
116.07125524  0.06846319  0.05016529
116.38882365  0.05648606  0.04991488
116.70639207  0.10336903  0.05002602
117.02396048  0.09050681  0.04989382
117.34152889  0.08349468  0.05030591
117.65909731  0.03143766  0.04958290
117.97666572  0.09379781  0.04992484
118.29423414  0.09819781  0.05010678
118.61180255  0.06796436  0.04994697
118.92937096  0.06155444  0.05019559
119.24693938  0.06754816  0.04989216
119.56450779  0.10224461  0.05007647
119.88207620  0.08209203  0.05007464
120.19964462  0.08026656  0.04974812
120.51721303  0.04003812  0.04987634
120.83478145  0.09894080  0.04999915
121.15234986  0.09501637  0.05005201
121.46991827  0.07036795  0.04975180
121.78748669  0.03755246  0.04944198
122.10505510  0.08956652  0.05001766
122.42262351  0.10884438  0.04988607
122.74019193  0.06799985  0.04975251
123.05776034  0.07209928  0.04971809
123.37532876  0.05625118  0.04981180
123.69289717  0.10539972  0.05008928
124.01046558  0.08531622  0.04995316
124.32803400  0.08249059  0.04963066
124.64560241  0.03317577  0.04967728
124.96317083  0.09022143  0.05014413
125.28073924  0.10141537  0.05006474
125.59830765  0.07477366  0.05002949
125.91587607  0.04979501  0.04967871
126.23344448  0.07158508  0.05000255
126.55101289  0.10960012  0.05003140
126.86858131  0.07284581  0.04990716
127.18614972  0.08018026  0.04996134
127.50371814  0.04618459  0.04992714
127.82128655  0.10592270  0.04993425
128.13885496  0.08937930  0.04988992
128.45642338  0.07207983  0.04975067
128.77399179  0.04511903  0.04964392
129.09156020  0.08848862  0.04982456
129.40912862  0.10605787  0.04997135
129.72669703  0.06425718  0.04996781
130.04426545  0.06855930  0.04973848
130.36183386  0.06356551  0.05006770
130.67940227  0.10865545  0.05000969
130.99697069  0.07771329  0.04988487
131.31453910  0.08102814  0.04991508
131.63210751  0.04084087  0.05033700
131.94967593  0.09267159  0.05034832
132.26724434  0.09758651  0.04991805
132.58481276  0.07022041  0.04993679
132.90238117  0.05503800  0.04997287
133.21994958  0.07442006  0.05011589
133.53751800  0.10941020  0.05009062
133.85508641  0.06846874  0.05004272
134.17265483  0.08438244  0.05034405
134.49022324  0.04987608  0.04986500
134.80779165  0.10616969  0.05000076
135.12536007  0.08416044  0.05015671
135.44292848  0.07175956  0.04973915
135.76049689  0.03935355  0.04968260
136.07806531  0.08809134  0.05000129
136.39563372  0.09973084  0.05004386
136.71320214  0.05834190  0.04978985
137.03077055  0.07290751  0.04978246
137.34833896  0.06467186  0.04996897
137.66590738  0.10904436  0.04982920
137.98347579  0.06443379  0.04996310
138.30104420  0.07266107  0.04988721
138.61861262  0.04007703  0.04977972
138.93618103  0.09758705  0.05011503
139.25374945  0.08768883  0.04976788
139.57131786  0.06574220  0.04976668
139.88888627  0.05427483  0.04972856
140.20645469  0.07803878  0.04987324
140.52402310  0.10445827  0.04992705
140.84159151  0.05921034  0.05002545
141.15915993  0.07841696  0.04981396
141.47672834  0.05377537  0.04967074
141.79429676  0.09999168  0.04990923
142.11186517  0.07799383  0.05002522
142.42943358  0.08453835  0.04979996
142.74700200  0.03385469  0.04995026
143.06457041  0.09871697  0.04991791
143.38213882  0.09699779  0.04993980
143.69970724  0.06558311  0.05009885
144.01727565  0.06467882  0.04986098
144.33484407  0.06527861  0.04999561
144.65241248  0.10779040  0.05006747
144.96998089  0.06797639  0.04987326
145.28754931  0.09559967  0.04970656
