# q S(q)
2.041920047688914330e+00 2.837042934870621647e-01
2.094956932044470310e+00 2.821078625287865016e-01
2.147993816400026290e+00 2.877110266847119902e-01
2.201030700755582714e+00 2.737533750824006074e-01
2.254067585111139138e+00 2.843038092333741162e-01
2.307104469466695118e+00 4.134810546870839043e-01
2.360141353822251098e+00 4.619735779963664579e-01
2.413178238177807522e+00 3.415252791068454363e-01
2.466215122533363946e+00 3.032961502914325314e-01
2.519252006888919926e+00 3.069778977396317443e-01
2.572288891244475906e+00 3.076348361776137796e-01
2.625325775600032330e+00 3.241766331390047440e-01
2.678362659955588754e+00 3.442061082450539877e-01
2.731399544311144734e+00 3.500580121790420884e-01
2.784436428666700714e+00 3.595616102873551156e-01
2.837473313022257138e+00 3.717488348733836157e-01
2.890510197377813562e+00 4.092696534116468943e-01
2.943547081733369541e+00 4.535446246139236970e-01
2.996583966088925521e+00 5.031721582961274919e-01
3.049620850444481945e+00 5.772350099626255560e-01
3.102657734800038369e+00 6.316146302129661549e-01
3.155694619155594349e+00 8.492449421878787152e-01
3.208731503511150329e+00 1.335999580149650479e+00
3.261768387866706753e+00 2.883129882326441074e+00
3.314805272222263177e+00 7.113453400781779123e+00
3.367842156577819157e+00 3.002593457604204374e+00
3.420879040933375581e+00 1.437906585576181229e+00
3.473915925288931561e+00 9.285007345398674783e-01
3.526952809644487985e+00 9.449892946855157350e-01
3.579989694000044409e+00 8.758960464420367797e-01
3.633026578355600389e+00 1.257412418396614440e+00
3.686063462711156369e+00 2.758693296231264469e+00
3.739100347066712793e+00 2.636808766801588710e+00
3.792137231422269217e+00 1.090315927661909878e+00
3.845174115777825197e+00 7.648108942432215729e-01
3.898211000133381177e+00 7.182631394120848611e-01
3.951247884488937601e+00 6.466206408106374148e-01
4.004284768844494025e+00 6.304656776801608187e-01
4.057321653200050449e+00 6.122667562085776227e-01
4.110358537555605984e+00 6.103078130590974260e-01
4.163395421911162408e+00 6.061502085997477751e-01
4.216432306266718832e+00 5.998830944303760182e-01
4.269469190622274368e+00 6.038135434027321891e-01
4.322506074977830792e+00 6.348429817743057590e-01
4.375542959333387216e+00 6.561595859537344699e-01
4.428579843688943640e+00 6.191847357588297074e-01
4.481616728044500064e+00 6.152299917282307851e-01
4.534653612400055600e+00 7.628738896893804133e-01
4.587690496755612024e+00 8.052483701478198030e-01
4.640727381111168448e+00 2.434947679436995305e+00
4.693764265466723984e+00 3.405400438793503959e+00
4.746801149822280408e+00 1.369212888940726236e+00
4.799838034177836832e+00 8.630952697259899331e-01
4.852874918533393256e+00 8.465209200765544395e-01
4.905911802888949680e+00 9.133849967578386853e-01
4.958948687244505216e+00 1.090755791178662282e+00
5.011985571600061640e+00 1.028686729779475506e+00
5.065022455955618064e+00 6.941798850750329208e-01
5.118059340311174488e+00 7.063612637508775993e-01
5.171096224666730024e+00 6.827216235758510887e-01
5.224133109022286447e+00 6.956564895163473983e-01
5.277169993377842871e+00 6.465634118822015663e-01
5.330206877733399295e+00 6.129316856221678211e-01
5.383243762088955719e+00 5.934997640244242811e-01
5.436280646444511255e+00 6.069656727235046567e-01
5.489317530800067679e+00 6.039356390822477882e-01
5.542354415155624103e+00 6.277277397430501837e-01
5.595391299511179639e+00 6.494947141611069341e-01
5.648428183866736063e+00 6.480330108088248053e-01
5.701465068222292487e+00 6.672763500132451453e-01
5.754501952577848911e+00 6.768072612343503103e-01
5.807538836933405335e+00 7.137660837310025874e-01
5.860575721288960871e+00 7.272296500239292527e-01
5.913612605644517295e+00 8.999585665571228077e-01
5.966649490000073719e+00 1.259356010492231448e+00
6.019686374355629255e+00 1.169163865051376261e+00
6.072723258711185679e+00 8.150686634854823476e-01
6.125760143066742103e+00 8.030750871085199361e-01
6.178797027422298527e+00 8.336996648496036721e-01
6.231833911777854951e+00 8.333178792220249376e-01
6.284870796133410487e+00 8.288289712168807055e-01
6.337907680488966911e+00 8.743959975830026821e-01
6.390944564844523335e+00 9.152397565566267046e-01
6.443981449200078870e+00 9.626851161641650778e-01
6.497018333555635294e+00 1.015882849721791326e+00
6.550055217911191718e+00 1.176519774775246940e+00
6.603092102266748142e+00 1.463169137121121954e+00
6.656128986622304566e+00 1.817922532312754136e+00
6.709165870977860102e+00 1.275593403934377035e+00
6.762202755333416526e+00 1.173157062348917368e+00
6.815239639688972950e+00 1.391252009756276165e+00
6.868276524044529374e+00 1.366190213998161873e+00
6.921313408400084910e+00 1.129345693478150947e+00
6.974350292755641334e+00 1.100314395211436924e+00
7.027387177111197758e+00 1.067431090501378854e+00
7.080424061466754182e+00 1.033783398833813205e+00
7.133460945822310606e+00 1.025523257926635567e+00
7.186497830177866142e+00 1.037059787638126229e+00
7.239534714533422566e+00 1.063052472003330085e+00
7.292571598888978990e+00 1.056788306433456448e+00
7.345608483244534526e+00 1.294595186459781777e+00
7.398645367600090950e+00 1.768597815472273904e+00
7.451682251955647374e+00 1.558418700639521148e+00
7.504719136311203798e+00 1.093263080760754180e+00
7.557756020666760222e+00 1.032305201167470488e+00
7.610792905022315757e+00 9.684497757596381984e-01
7.663829789377872181e+00 9.256808393342648156e-01
7.716866673733428605e+00 9.095056887486515640e-01
7.769903558088984141e+00 8.751049376295667592e-01
7.822940442444540565e+00 8.735196684504851206e-01
7.875977326800096989e+00 8.595658468769636906e-01
7.929014211155653413e+00 8.535146497100380980e-01
7.982051095511209837e+00 8.661166622724103537e-01
