# q S(q)
2.041920047688914330e+00 9.066626422628881743e-01
2.094956932044470310e+00 9.546100054461594819e-01
2.147993816400026290e+00 9.854436130383756876e-01
2.201030700755582714e+00 1.024355302392437661e+00
2.254067585111139138e+00 1.081314062380499319e+00
2.307104469466695118e+00 1.126551667378320021e+00
2.360141353822251098e+00 1.153992427572600787e+00
2.413178238177807522e+00 1.138393633501426860e+00
2.466215122533363946e+00 1.183170616005353226e+00
2.519252006888919926e+00 1.180969719747572366e+00
2.572288891244475906e+00 1.191836987008028315e+00
2.625325775600032330e+00 1.190212126377215629e+00
2.678362659955588754e+00 1.201618760468853742e+00
2.731399544311144734e+00 1.219464637942427654e+00
2.784436428666700714e+00 1.200105318948797573e+00
2.837473313022257138e+00 1.214513006182386556e+00
2.890510197377813562e+00 1.216661398335655786e+00
2.943547081733369541e+00 1.216354895239245115e+00
2.996583966088925521e+00 1.221169700647775302e+00
3.049620850444481945e+00 1.221360565804942677e+00
3.102657734800038369e+00 1.243056769115287841e+00
3.155694619155594349e+00 1.200839824270902856e+00
3.208731503511150329e+00 1.183732213675136702e+00
3.261768387866706753e+00 1.216754495104259703e+00
3.314805272222263177e+00 1.181603047966665709e+00
3.367842156577819157e+00 1.179257793502350937e+00
3.420879040933375581e+00 1.160934269270706531e+00
3.473915925288931561e+00 1.092495541312784813e+00
3.526952809644487985e+00 1.090811979675490262e+00
3.579989694000044409e+00 1.068583932199202557e+00
3.633026578355600389e+00 1.048593773334739243e+00
3.686063462711156369e+00 1.019565083377128589e+00
3.739100347066712793e+00 9.392123096270825755e-01
3.792137231422269217e+00 9.191032408637468398e-01
3.845174115777825197e+00 9.178776705779511103e-01
3.898211000133381177e+00 8.945710985031388729e-01
3.951247884488937601e+00 8.630442742759792951e-01
4.004284768844494025e+00 8.527323025879105511e-01
4.057321653200050449e+00 8.280226767737616234e-01
4.110358537555605984e+00 7.984154660283282468e-01
4.163395421911162408e+00 8.045509290800239022e-01
4.216432306266718832e+00 8.358522391623581793e-01
4.269469190622274368e+00 8.396102248252591549e-01
4.322506074977830792e+00 8.268746674583059564e-01
4.375542959333387216e+00 8.455376467563100462e-01
4.428579843688943640e+00 8.580483015013214976e-01
4.481616728044500064e+00 8.619322948875713930e-01
4.534653612400055600e+00 8.707178337435867999e-01
4.587690496755612024e+00 8.579401123019554376e-01
4.640727381111168448e+00 8.707363550818513209e-01
4.693764265466723984e+00 9.211889762738586507e-01
4.746801149822280408e+00 9.465028769148231547e-01
4.799838034177836832e+00 9.546881242520777189e-01
4.852874918533393256e+00 9.998017998162284092e-01
4.905911802888949680e+00 1.008205040529911445e+00
4.958948687244505216e+00 1.006473629372491851e+00
5.011985571600061640e+00 9.974877030813592560e-01
5.065022455955618064e+00 1.003799165771018354e+00
5.118059340311174488e+00 1.026807522155793961e+00
5.171096224666730024e+00 1.054711318880954707e+00
5.224133109022286447e+00 1.073082004509424703e+00
5.277169993377842871e+00 1.099325783266384970e+00
5.330206877733399295e+00 1.077118488788973316e+00
5.383243762088955719e+00 1.055950718365470831e+00
5.436280646444511255e+00 1.084496415819334869e+00
5.489317530800067679e+00 1.093827799880810803e+00
5.542354415155624103e+00 1.103769472382528871e+00
5.595391299511179639e+00 1.133038463049822919e+00
5.648428183866736063e+00 1.117678335082017638e+00
5.701465068222292487e+00 1.108292509359922295e+00
5.754501952577848911e+00 1.076082260343425467e+00
5.807538836933405335e+00 1.063019469636819814e+00
5.860575721288960871e+00 1.057564625952000625e+00
5.913612605644517295e+00 1.057388280278875881e+00
5.966649490000073719e+00 1.044832951367717699e+00
6.019686374355629255e+00 1.036195561295724987e+00
6.072723258711185679e+00 1.040087119724092402e+00
6.125760143066742103e+00 1.025060302230206499e+00
6.178797027422298527e+00 1.029232172819009694e+00
6.231833911777854951e+00 1.035742864690600618e+00
6.284870796133410487e+00 1.040483080666483318e+00
6.337907680488966911e+00 1.000055270043787914e+00
6.390944564844523335e+00 9.861359216084508716e-01
6.443981449200078870e+00 9.793917149676614198e-01
6.497018333555635294e+00 9.762880009144602189e-01
6.550055217911191718e+00 9.660211631313506686e-01
6.603092102266748142e+00 9.762552923436484953e-01
6.656128986622304566e+00 9.599884524158932564e-01
6.709165870977860102e+00 9.399858622292031063e-01
6.762202755333416526e+00 9.334840580397807397e-01
6.815239639688972950e+00 9.347454408320717834e-01
6.868276524044529374e+00 9.407013952812554036e-01
6.921313408400084910e+00 9.515975308893924733e-01
6.974350292755641334e+00 9.534517934214030710e-01
7.027387177111197758e+00 9.369160195035071137e-01
7.080424061466754182e+00 9.366626335602225017e-01
7.133460945822310606e+00 9.395198166072092905e-01
7.186497830177866142e+00 9.494578115511161931e-01
7.239534714533422566e+00 9.436707691915061647e-01
7.292571598888978990e+00 9.491837065090357184e-01
7.345608483244534526e+00 9.428262160658861246e-01
7.398645367600090950e+00 9.541044447285264019e-01
7.451682251955647374e+00 9.665514126809532369e-01
7.504719136311203798e+00 9.681701408036804679e-01
7.557756020666760222e+00 9.983442761619537587e-01
7.610792905022315757e+00 1.008399468006022426e+00
7.663829789377872181e+00 1.016047367924813205e+00
7.716866673733428605e+00 1.035603694105956540e+00
7.769903558088984141e+00 1.016293785763138890e+00
7.822940442444540565e+00 1.007937549610402828e+00
7.875977326800096989e+00 1.025791683658269227e+00
7.929014211155653413e+00 1.024556848966556188e+00
7.982051095511209837e+00 1.007592808372596904e+00
