Relative_x,Smoothed_lq6,Std_lq6
-2.000000000000000000e+01,2.261042399132346947e-01,1.268623230294360638e-01
-1.989999999999999858e+01,2.260977662555961332e-01,1.227860301258110465e-01
-1.979999999999999716e+01,2.260861272904028940e-01,1.273103258491499190e-01
-1.969999999999999574e+01,2.260689380195334830e-01,1.248179781256535809e-01
-1.959999999999999432e+01,2.260459516325092344e-01,1.250695125122748552e-01
-1.949999999999999289e+01,2.260170673191045643e-01,1.272541291578123956e-01
-1.939999999999999147e+01,2.259823247582829209e-01,1.264385663016777128e-01
-1.929999999999999005e+01,2.259418869654011841e-01,1.260631676476216267e-01
-1.919999999999998863e+01,2.258960148543300572e-01,1.253600744582924198e-01
-1.909999999999998721e+01,2.258450380344060870e-01,1.249273530393126275e-01
-1.899999999999998579e+01,2.257893268419521038e-01,1.250560374048127199e-01
-1.889999999999998437e+01,2.257292703288784341e-01,1.241388398311455143e-01
-1.879999999999998295e+01,2.256652639334590094e-01,1.252309272998524681e-01
-1.869999999999998153e+01,2.255977089838359928e-01,1.241482861254961378e-01
-1.859999999999998010e+01,2.255270242621159604e-01,1.263436555844127673e-01
-1.849999999999997868e+01,2.254536678680591488e-01,1.260226126902105337e-01
-1.839999999999997726e+01,2.253781658579019631e-01,1.255738636515702222e-01
-1.829999999999997584e+01,2.253011428532514238e-01,1.271666859801443283e-01
-1.819999999999997442e+01,2.252233492014757976e-01,1.247411784468258067e-01
-1.809999999999997300e+01,2.251456794076701906e-01,1.252098731215297023e-01
-1.799999999999997158e+01,2.250691774254935662e-01,1.261915365396021615e-01
-1.789999999999997016e+01,2.249950258658230950e-01,1.249979731658972804e-01
-1.779999999999996874e+01,2.249245180561912361e-01,1.244986388130477351e-01
-1.769999999999996732e+01,2.248590139127223664e-01,1.261397943535212396e-01
-1.759999999999996589e+01,2.247998825121392541e-01,1.256663862556860745e-01
-1.749999999999996447e+01,2.247484358393787296e-01,1.247690732827161086e-01
-1.739999999999996305e+01,2.247058592517898468e-01,1.255563883685751059e-01
-1.729999999999996163e+01,2.246731446273216026e-01,1.255383104214811973e-01
-1.719999999999996021e+01,2.246510319147009271e-01,1.259037211946726631e-01
-1.709999999999995879e+01,2.246399639232423695e-01,1.277897112265284629e-01
-1.699999999999995737e+01,2.246400578005086912e-01,1.259450203407740665e-01
-1.689999999999995595e+01,2.246510949333018481e-01,1.245540710023181480e-01
-1.679999999999995453e+01,2.246725291995460005e-01,1.254624906089825132e-01
-1.669999999999995310e+01,2.247035118367508577e-01,1.258329640524230575e-01
-1.659999999999995168e+01,2.247429298958949495e-01,1.229393550936812296e-01
-1.649999999999995026e+01,2.247894544789298121e-01,1.260947004452453446e-01
-1.639999999999994884e+01,2.248415947870500420e-01,1.250956099645416097e-01
-1.629999999999994742e+01,2.248977544037312482e-01,1.255990073043851407e-01
-1.619999999999994600e+01,2.249562870671578674e-01,1.233145332057348359e-01
-1.609999999999994458e+01,2.250155502361403936e-01,1.255857005598884635e-01
-1.599999999999994316e+01,2.250739557681873115e-01,1.234693138845178867e-01
-1.589999999999994174e+01,2.251300177665990221e-01,1.259152830693873182e-01
-1.579999999999994031e+01,2.251823979393156316e-01,1.239415385027451827e-01
-1.569999999999993889e+01,2.252299485765184295e-01,1.238356859569930829e-01
-1.559999999999993747e+01,2.252717525548409150e-01,1.242272405007561337e-01
-1.549999999999993605e+01,2.253071587929400266e-01,1.273849746374950409e-01
-1.539999999999993463e+01,2.253358105828509872e-01,1.275855973088369788e-01
-1.529999999999993321e+01,2.253576635030590525e-01,1.238650867712207115e-01
-1.519999999999993179e+01,2.253729894470980211e-01,1.260584219964347164e-01
-1.509999999999993037e+01,2.253823638428464338e-01,1.259047773093886213e-01
-1.499999999999992895e+01,2.253866344167380076e-01,1.253709580698403048e-01
-1.489999999999992752e+01,2.253868717375992203e-01,1.246974673698835329e-01
-1.479999999999992610e+01,2.253843039784724500e-01,1.255347138947564001e-01
-1.469999999999992468e+01,2.253802404896490807e-01,1.260134109699258265e-01
-1.459999999999992326e+01,2.253759904886867838e-01,1.244636031763137890e-01
-1.449999999999992184e+01,2.253727841069718130e-01,1.240482077008249612e-01
-1.439999999999992042e+01,2.253717029771093450e-01,1.259478225397498985e-01
-1.429999999999991900e+01,2.253736264618191598e-01,1.255133928757450057e-01
-1.419999999999991758e+01,2.253791976564010480e-01,1.254930148087129160e-01
-1.409999999999991616e+01,2.253888107450022216e-01,1.254267506031904178e-01
-1.399999999999991473e+01,2.254026185621610945e-01,1.265458305461790722e-01
-1.389999999999991331e+01,2.254205567431411539e-01,1.244441754254155819e-01
-1.379999999999991189e+01,2.254423790306854525e-01,1.255465380688151056e-01
-1.369999999999991047e+01,2.254676974183529858e-01,1.270762035563660353e-01
-1.359999999999990905e+01,2.254960209665508308e-01,1.256339805406466725e-01
-1.349999999999990763e+01,2.255267882633436582e-01,1.257685150522434292e-01
-1.339999999999990621e+01,2.255593903908290343e-01,1.253111117350009796e-01
