# q S(q)
2.042689759324599841e+00 1.174044486386280672e+00
2.093126543505453796e+00 9.381562016947089244e-01
2.143563327686307751e+00 7.191080856180340763e-01
2.194000111867162595e+00 6.969627170409649075e-01
2.244436896048016550e+00 6.535515673514632473e-01
2.294873680228871393e+00 5.910215992907364990e-01
2.345310464409725348e+00 5.716674212920485054e-01
2.395747248590579304e+00 5.708472786196560067e-01
2.446184032771434147e+00 5.682541627744875923e-01
2.496620816952288102e+00 5.814564184189516816e-01
2.547057601133142946e+00 5.877377414218102336e-01
2.597494385313996901e+00 5.795191538561131894e-01
2.647931169494850856e+00 5.776026968271560369e-01
2.698367953675705699e+00 5.815600940741236791e-01
2.748804737856559655e+00 6.035504405905718350e-01
2.799241522037414498e+00 6.024450222843306113e-01
2.849678306218268453e+00 6.323353082103803091e-01
2.900115090399122408e+00 6.482876022874013433e-01
2.950551874579977252e+00 6.905380239608915893e-01
3.000988658760831207e+00 6.949114081025493661e-01
3.051425442941686050e+00 8.315561173685287466e-01
3.101862227122540006e+00 9.170045954796521848e-01
3.152299011303393961e+00 1.184817985513404892e+00
3.202735795484248804e+00 1.399180199111187850e+00
3.253172579665102759e+00 4.172032520949112033e+00
3.303609363845957603e+00 6.174580800867233599e+00
3.354046148026811558e+00 2.851158520383643147e+00
3.404482932207665513e+00 1.441119027631055705e+00
3.454919716388520357e+00 1.151590678529802680e+00
3.505356500569374312e+00 9.841836817977644980e-01
3.555793284750229155e+00 9.284830381178842407e-01
3.606230068931083110e+00 8.777198517019957347e-01
3.656666853111937066e+00 1.020434184026212110e+00
3.707103637292791909e+00 1.046930444132930571e+00
3.757540421473645864e+00 1.533356002331581980e+00
3.807977205654500708e+00 2.919486296895729804e+00
3.858413989835354663e+00 2.112734636099994567e+00
3.908850774016208618e+00 9.367074059762316995e-01
3.959287558197063461e+00 7.837637466629054916e-01
4.009724342377917417e+00 7.339817903305986269e-01
4.060161126558771372e+00 6.801976315082935987e-01
4.110597910739626215e+00 6.530769435694732117e-01
4.161034694920481058e+00 6.277467804802233653e-01
4.211471479101334126e+00 6.102614557770010828e-01
4.261908263282188969e+00 5.937035529467931116e-01
4.312345047463043812e+00 6.050025640441351049e-01
4.362781831643897767e+00 6.195319020971830071e-01
4.413218615824751723e+00 6.375315939846358804e-01
4.463655400005606566e+00 6.718848578617838685e-01
4.514092184186460521e+00 6.712371037933442253e-01
4.564528968367314476e+00 6.679791878493511748e-01
4.614965752548169320e+00 6.938893705216159224e-01
4.665402536729024163e+00 7.409382801722019796e-01
4.715839320909877230e+00 7.816089409496462803e-01
4.766276105090732074e+00 8.143325691229027496e-01
4.816712889271586917e+00 8.737385271132815934e-01
4.867149673452440872e+00 1.018953225315624378e+00
4.917586457633294827e+00 1.129900868669255098e+00
4.968023241814149671e+00 1.431349697366424589e+00
5.018460025995003626e+00 2.346902198137115647e+00
5.068896810175857581e+00 2.511148025465424816e+00
5.119333594356712425e+00 1.540678818352750223e+00
5.169770378537567268e+00 1.187005320237754846e+00
5.220207162718420335e+00 1.094685869012267609e+00
5.270643946899275178e+00 1.035774213072292893e+00
5.321080731080130022e+00 9.991466782245284062e-01
5.371517515260983977e+00 9.764569460847175586e-01
5.421954299441837932e+00 9.947280506293134650e-01
5.472391083622692776e+00 1.015202909579248303e+00
5.522827867803546731e+00 1.043270287042074917e+00
5.573264651984400686e+00 1.051893043722785803e+00
5.623701436165255529e+00 1.119247970452271534e+00
5.674138220346110373e+00 1.502587093083960879e+00
5.724575004526963440e+00 1.857224534459592125e+00
5.775011788707818283e+00 1.305226043981183137e+00
5.825448572888673127e+00 1.069048909203329067e+00
5.875885357069527082e+00 9.819680788816566031e-01
5.926322141250381037e+00 9.357764768457280669e-01
5.976758925431235880e+00 9.275200038887849718e-01
6.027195709612089836e+00 9.035565282564562706e-01
6.077632493792943791e+00 8.664715805835115914e-01
6.128069277973798634e+00 8.782392395429922116e-01
6.178506062154653478e+00 8.822672538034161960e-01
6.228942846335506545e+00 9.099004707430605743e-01
6.279379630516361388e+00 9.289210938789541627e-01
6.329816414697216231e+00 9.365108196402699425e-01
6.380253198878070187e+00 9.692702262027381721e-01
6.430689983058924142e+00 1.038209479826629256e+00
6.481126767239778985e+00 1.056139903973975391e+00
6.531563551420632940e+00 1.154712407505689598e+00
6.582000335601486896e+00 1.421350093297989226e+00
6.632437119782341739e+00 1.382252157123233793e+00
6.682873903963196582e+00 1.180724327575531696e+00
6.733310688144049649e+00 1.112221472319862459e+00
6.783747472324904493e+00 1.115912723615319235e+00
6.834184256505759336e+00 1.273007785175469975e+00
6.884621040686613291e+00 1.363511040249699047e+00
6.935057824867467247e+00 1.156023124821620840e+00
6.985494609048322090e+00 9.894256396470371140e-01
7.035931393229176045e+00 9.376561559935533419e-01
7.086368177410030000e+00 9.198437372862233730e-01
7.136804961590884844e+00 8.904219203462784282e-01
7.187241745771739687e+00 8.936160414345949432e-01
7.237678529952592754e+00 9.030907848419695849e-01
7.288115314133447598e+00 8.947518040951808471e-01
7.338552098314302441e+00 9.001747519327637503e-01
7.388988882495156396e+00 9.001741101604888717e-01
7.439425666676010351e+00 9.086960968095044722e-01
7.489862450856865195e+00 9.183684928438585748e-01
7.540299235037719150e+00 9.261162838962984090e-01
7.590736019218573105e+00 9.825630102036339020e-01
7.641172803399427949e+00 1.029227836531696472e+00
7.691609587580282792e+00 9.751421816162282319e-01
7.742046371761135859e+00 9.464053237196821122e-01
7.792483155941990702e+00 9.398439757560399510e-01
7.842919940122845546e+00 9.430961385063211244e-01
7.893356724303699501e+00 9.447717869390570566e-01
7.943793508484553456e+00 9.572508474841887605e-01
7.994230292665408300e+00 9.809686076907461194e-01
