# q S(q)
2.042689759324599841e+00 8.124602802085523212e-01
2.093126543505453796e+00 8.499969826511648563e-01
2.143563327686307751e+00 9.164956831604489373e-01
2.194000111867162595e+00 9.608702065284585592e-01
2.244436896048016550e+00 1.020756710847993576e+00
2.294873680228871393e+00 1.060795502411407298e+00
2.345310464409725348e+00 1.071924250039089310e+00
2.395747248590579304e+00 1.142532654848418039e+00
2.446184032771434147e+00 1.185169056848430547e+00
2.496620816952288102e+00 1.239959863589970901e+00
2.547057601133142946e+00 1.246706700714059091e+00
2.597494385313996901e+00 1.246024718436061773e+00
2.647931169494850856e+00 1.199480185430830348e+00
2.698367953675705699e+00 1.188922617094538170e+00
2.748804737856559655e+00 1.257382534382440298e+00
2.799241522037414498e+00 1.233888699333714811e+00
2.849678306218268453e+00 1.227059685849915205e+00
2.900115090399122408e+00 1.241098359759166936e+00
2.950551874579977252e+00 1.276804498636664231e+00
3.000988658760831207e+00 1.268508318762696430e+00
3.051425442941686050e+00 1.233477500056719522e+00
3.101862227122540006e+00 1.241921565267257943e+00
3.152299011303393961e+00 1.209174745077011837e+00
3.202735795484248804e+00 1.224659880878401497e+00
3.253172579665102759e+00 1.206625063640032636e+00
3.303609363845957603e+00 1.194492434998042363e+00
3.354046148026811558e+00 1.164443216014529714e+00
3.404482932207665513e+00 1.190135940537712989e+00
3.454919716388520357e+00 1.195291563657945311e+00
3.505356500569374312e+00 1.127646125901353491e+00
3.555793284750229155e+00 1.087004145590053206e+00
3.606230068931083110e+00 1.057756623711385124e+00
3.656666853111937066e+00 1.054868343735409386e+00
3.707103637292791909e+00 1.013659402143763266e+00
3.757540421473645864e+00 9.909206320434487125e-01
3.807977205654500708e+00 9.548790214268439991e-01
3.858413989835354663e+00 9.200717764146459920e-01
3.908850774016208618e+00 8.663694750303806424e-01
3.959287558197063461e+00 8.713739083508874605e-01
4.009724342377917417e+00 8.622687687738735951e-01
4.060161126558771372e+00 8.437069611152603343e-01
4.110597910739626215e+00 8.176140550585616618e-01
4.161034694920481058e+00 7.879831958621866805e-01
4.211471479101334126e+00 8.005854931343449055e-01
4.261908263282188969e+00 7.991129787419215535e-01
4.312345047463043812e+00 8.094135302976263047e-01
4.362781831643897767e+00 8.352635955795686407e-01
4.413218615824751723e+00 8.485966783213084730e-01
4.463655400005606566e+00 8.471576542361590745e-01
4.514092184186460521e+00 8.335522715921994674e-01
4.564528968367314476e+00 8.462921127785115738e-01
4.614965752548169320e+00 8.667434275710897973e-01
4.665402536729024163e+00 8.869079464100438903e-01
4.715839320909877230e+00 9.212847867266347190e-01
4.766276105090732074e+00 9.402331252868755262e-01
4.816712889271586917e+00 9.369354037011794478e-01
4.867149673452440872e+00 9.545197026374183658e-01
4.917586457633294827e+00 9.758927605416117812e-01
4.968023241814149671e+00 9.909875026539376464e-01
5.018460025995003626e+00 1.035634973812499249e+00
5.068896810175857581e+00 1.077954003858876408e+00
5.119333594356712425e+00 1.050408382571988319e+00
5.169770378537567268e+00 1.071929866681015087e+00
5.220207162718420335e+00 1.100199198311612614e+00
5.270643946899275178e+00 1.045590873361426754e+00
5.321080731080130022e+00 1.058550044844614568e+00
5.371517515260983977e+00 1.076657988973288793e+00
5.421954299441837932e+00 1.069717729410539997e+00
5.472391083622692776e+00 1.083590848913938087e+00
5.522827867803546731e+00 1.075185090869625659e+00
5.573264651984400686e+00 1.070512773105136484e+00
5.623701436165255529e+00 1.091736000923983596e+00
5.674138220346110373e+00 1.116672986865981043e+00
5.724575004526963440e+00 1.107561486365612247e+00
5.775011788707818283e+00 1.101801960524056545e+00
5.825448572888673127e+00 1.081391741148499896e+00
5.875885357069527082e+00 1.088631831999213651e+00
5.926322141250381037e+00 1.076417362521715049e+00
5.976758925431235880e+00 1.069431429036502346e+00
6.027195709612089836e+00 1.051869648652711930e+00
6.077632493792943791e+00 1.050648714126102501e+00
6.128069277973798634e+00 1.036303388913603074e+00
6.178506062154653478e+00 1.023390307280801270e+00
6.228942846335506545e+00 1.011064415704024944e+00
6.279379630516361388e+00 9.878132549817426611e-01
6.329816414697216231e+00 9.724937597158833658e-01
6.380253198878070187e+00 9.630972695163732000e-01
6.430689983058924142e+00 9.618450844263830568e-01
6.481126767239778985e+00 9.686270750027883292e-01
6.531563551420632940e+00 9.877475813901619439e-01
6.582000335601486896e+00 9.674199986691990327e-01
6.632437119782341739e+00 9.465250383748465834e-01
6.682873903963196582e+00 9.412652228159081869e-01
6.733310688144049649e+00 9.263623011642714289e-01
6.783747472324904493e+00 9.528919884921748240e-01
6.834184256505759336e+00 9.830259058098514968e-01
6.884621040686613291e+00 9.663089179140432750e-01
6.935057824867467247e+00 9.455599799620219015e-01
6.985494609048322090e+00 9.150711380990294019e-01
7.035931393229176045e+00 9.179731099214065715e-01
7.086368177410030000e+00 9.362351484923226996e-01
7.136804961590884844e+00 9.526181704803680095e-01
7.187241745771739687e+00 9.607688499513390434e-01
7.237678529952592754e+00 9.520426659890430798e-01
7.288115314133447598e+00 9.559650222277741305e-01
7.338552098314302441e+00 9.602505244217930391e-01
7.388988882495156396e+00 9.768524584897816387e-01
7.439425666676010351e+00 9.914419864419766748e-01
7.489862450856865195e+00 9.881832192159167860e-01
