# q S(q)
2.042689759324599841e+00 1.239072112908983225e+00
2.093126543505453796e+00 8.842433772942988046e-01
2.143563327686307751e+00 5.916046524578773003e-01
2.194000111867162595e+00 5.392947613176836130e-01
2.244436896048016550e+00 4.487523735817021131e-01
2.294873680228871393e+00 3.760214895372980259e-01
2.345310464409725348e+00 3.783451693270805660e-01
2.395747248590579304e+00 3.311628041266657663e-01
2.446184032771434147e+00 3.323511335621807672e-01
2.496620816952288102e+00 3.309201297389031127e-01
2.547057601133142946e+00 3.498922056232148803e-01
2.597494385313996901e+00 3.322183945573856101e-01
2.647931169494850856e+00 3.294214436740335872e-01
2.698367953675705699e+00 3.416988121616262863e-01
2.748804737856559655e+00 3.439061068409317579e-01
2.799241522037414498e+00 3.553931027750233396e-01
2.849678306218268453e+00 4.188874680060299949e-01
2.900115090399122408e+00 4.380724747888952719e-01
2.950551874579977252e+00 4.851527114161715559e-01
3.000988658760831207e+00 4.873956441228464165e-01
3.051425442941686050e+00 6.300905292373598643e-01
3.101862227122540006e+00 6.539658606735427870e-01
3.152299011303393961e+00 1.092638401960151828e+00
3.202735795484248804e+00 1.416993573260434625e+00
3.253172579665102759e+00 6.058416001463590383e+00
3.303609363845957603e+00 9.317320093991240171e+00
3.354046148026811558e+00 3.832556352156880841e+00
3.404482932207665513e+00 1.527199458050433112e+00
3.454919716388520357e+00 1.077827130068761186e+00
3.505356500569374312e+00 8.785529972723157277e-01
3.555793284750229155e+00 8.471736132059856095e-01
3.606230068931083110e+00 8.224772925390357869e-01
3.656666853111937066e+00 1.062602797426857482e+00
3.707103637292791909e+00 1.169059167145062972e+00
3.757540421473645864e+00 2.728684382047451340e+00
3.807977205654500708e+00 6.729097687020774821e+00
3.858413989835354663e+00 4.404070618707986995e+00
3.908850774016208618e+00 1.255519064572237831e+00
3.959287558197063461e+00 8.704256567703144709e-01
4.009724342377917417e+00 7.537246672030051275e-01
4.060161126558771372e+00 6.571109018556556824e-01
4.110597910739626215e+00 6.167158399791596857e-01
4.161034694920481058e+00 5.644356226285910383e-01
4.211471479101334126e+00 5.611530244620739349e-01
4.261908263282188969e+00 5.402469473823034996e-01
4.312345047463043812e+00 5.641090053578969865e-01
4.362781831643897767e+00 5.538405716881602547e-01
4.413218615824751723e+00 5.476859841521107830e-01
4.463655400005606566e+00 5.642962167988000433e-01
4.514092184186460521e+00 5.862611079930302171e-01
4.564528968367314476e+00 6.136627636546881925e-01
4.614965752548169320e+00 6.441097717162863612e-01
4.665402536729024163e+00 6.843174208388052016e-01
4.715839320909877230e+00 7.526026514357135877e-01
4.766276105090732074e+00 8.256438742903108308e-01
4.816712889271586917e+00 8.599456702974432876e-01
4.867149673452440872e+00 1.067234359461715743e+00
4.917586457633294827e+00 1.334301584432283194e+00
4.968023241814149671e+00 2.319116362714448876e+00
5.018460025995003626e+00 5.518951218351052290e+00
5.068896810175857581e+00 5.804860764083167979e+00
5.119333594356712425e+00 2.427705619778437462e+00
5.169770378537567268e+00 1.302517168733950292e+00
5.220207162718420335e+00 1.126264513507560405e+00
5.270643946899275178e+00 9.751483881154315858e-01
5.321080731080130022e+00 9.265546727150074657e-01
5.371517515260983977e+00 8.837217061989071087e-01
5.421954299441837932e+00 8.899709680452074778e-01
5.472391083622692776e+00 8.913303621012143019e-01
5.522827867803546731e+00 9.292367115069689598e-01
5.573264651984400686e+00 9.479265292332095250e-01
5.623701436165255529e+00 1.075263523298064960e+00
5.674138220346110373e+00 2.045897588622600516e+00
5.724575004526963440e+00 2.820863845685077198e+00
5.775011788707818283e+00 1.548726402073735464e+00
5.825448572888673127e+00 1.060599831154154460e+00
5.875885357069527082e+00 9.092539044714706975e-01
5.926322141250381037e+00 8.391802342466946341e-01
5.976758925431235880e+00 8.142744588305718123e-01
6.027195709612089836e+00 7.878369800578249871e-01
6.077632493792943791e+00 7.761473743124303049e-01
6.128069277973798634e+00 8.112401102862093483e-01
6.178506062154653478e+00 7.943875481349834677e-01
6.228942846335506545e+00 8.345741485648842106e-01
6.279379630516361388e+00 8.497687975535155314e-01
6.329816414697216231e+00 8.866747642395753637e-01
6.380253198878070187e+00 9.020973520137970381e-01
6.430689983058924142e+00 9.782802608901397523e-01
6.481126767239778985e+00 1.058203396931290508e+00
6.531563551420632940e+00 1.311064701517244080e+00
6.582000335601486896e+00 2.012742299485871023e+00
6.632437119782341739e+00 1.856077059249272798e+00
6.682873903963196582e+00 1.320200088094192425e+00
6.733310688144049649e+00 1.276154914188504907e+00
6.783747472324904493e+00 1.362968039636806017e+00
6.834184256505759336e+00 2.215673705955788275e+00
6.884621040686613291e+00 2.566977039818037820e+00
6.935057824867467247e+00 1.725083833720103321e+00
6.985494609048322090e+00 1.158568559960634792e+00
7.035931393229176045e+00 1.075736436187182399e+00
7.086368177410030000e+00 1.018517058828182442e+00
7.136804961590884844e+00 9.851471691020826649e-01
7.187241745771739687e+00 9.535803522805643695e-01
7.237678529952592754e+00 9.275642371206301862e-01
7.288115314133447598e+00 9.034335233229143780e-01
7.338552098314302441e+00 9.142707449943403564e-01
7.388988882495156396e+00 8.949388748516328151e-01
7.439425666676010351e+00 9.346843725529019320e-01
7.489862450856865195e+00 9.584615030651482126e-01
7.540299235037719150e+00 9.595977035584546400e-01
7.590736019218573105e+00 1.224700371368381502e+00
7.641172803399427949e+00 1.368792703848788817e+00
7.691609587580282792e+00 1.084377839928106990e+00
7.742046371761135859e+00 9.742805867052098945e-01
7.792483155941990702e+00 9.691823865233402113e-01
7.842919940122845546e+00 9.553523068947799013e-01
